case,switch,soft_iou,hard_iou,tex_corr,lesion_change,psnr_brain_target
Mets_003,strength_0.10,0.9853859543800354,0.9909705519676208,0.9775288701057434,-0.01251634955406189,31.515709495511945
Mets_003,strength_1.00,0.9868746399879456,0.9929959177970886,0.984827995300293,-0.046258628368377686,28.42326591713626
Mets_004,default,0.9831069111824036,0.9862001538276672,0.9812391996383667,-0.020632147789001465,30.678968120454417
Mets_004,no_clip,0.9829638600349426,0.9866510033607483,0.9679588675498962,-0.09212663769721985,23.89054586376018
Mets_004,clip_0.04,0.9824396967887878,0.9852091670036316,0.9801436066627502,-0.014708220958709717,31.15484863688609
Mets_004,clip_0.15,0.9834822416305542,0.9866783022880554,0.9823170900344849,-0.03105980157852173,29.63864136581096
Mets_004,no_detail,0.9785721302032471,0.9822244048118591,0.9777173399925232,-0.027249634265899658,28.668679454242078
Mets_004,no_expo_reduce,0.9832497835159302,0.9862546920776367,0.9839291572570801,-0.017090916633605957,31.612051618445825
Mets_004,no_contour_lock,0.9760817885398865,0.9862001538276672,0.9916161298751831,-0.020632147789001465,30.678968120454417
Mets_004,strength_0.10,0.9820066094398499,0.9846203923225403,0.979491114616394,-0.01217794418334961,31.314542039155718
Mets_004,strength_1.00,0.9851788282394409,0.9897232055664062,0.9851795434951782,-0.04290664196014404,28.41554860029921
Mets_005,default,0.9840473532676697,0.9868783950805664,0.9810314774513245,-0.026188433170318604,29.53588753714393
Mets_005,no_clip,0.9845097661018372,0.9876060485839844,0.9689740538597107,-0.1250932514667511,22.07063423308493
Mets_005,clip_0.04,0.9833150506019592,0.9856716990470886,0.9799758195877075,-0.019375145435333252,29.96347110641857
Mets_005,clip_0.15,0.9846893548965454,0.9876060485839844,0.982257068157196,-0.03818333148956299,28.614297022023344
Mets_005,no_detail,0.9799646735191345,0.9830349087715149,0.9783928990364075,-0.03458666801452637,27.472273311823447
Mets_005,no_expo_reduce,0.9841197729110718,0.9868783950805664,0.9838469624519348,-0.020290732383728027,30.59827122214612
Mets_005,no_contour_lock,0.9769172668457031,0.9868783950805664,0.9904510378837585,-0.026188433170318604,29.53588753714393
Mets_005,strength_0.10,0.9828735589981079,0.9850689172744751,0.9793875813484192,-0.016464531421661377,30.111203325201373
Mets_005,strength_1.00,0.9866051077842712,0.9912235736846924,0.9848889708518982,-0.051764070987701416,27.507985635567884
Mets_006,default,0.9740144610404968,0.9796841740608215,0.9814563393592834,-0.02346336841583252,31.896155001043454
Mets_006,no_clip,0.9660294651985168,0.9793280959129333,0.9676565527915955,-0.07659074664115906,25.638771244577626
Mets_006,clip_0.04,0.9737847447395325,0.9775704145431519,0.979617714881897,-0.017133891582489014,32.571672124234894
Mets_006,clip_0.15,0.9714242219924927,0.9793546199798584,0.9831117987632751,-0.03459686040878296,30.491324957635687
Mets_006,no_detail,0.9664531946182251,0.971541166305542,0.9793304800987244,-0.030810564756393433,30.01149177111795
Mets_006,no_expo_reduce,0.9747371673583984,0.979975163936615,0.9852946996688843,-0.019538193941116333,33.06837358912135
Mets_006,no_contour_lock,0.9702322483062744,0.9796841740608215,0.990800142288208,-0.02339690923690796,31.89615969524184
Mets_006,strength_0.10,0.9732846617698669,0.9763452410697937,0.9785172343254089,-0.014428824186325073,32.802113438595
Mets_006,strength_1.00,0.9671117663383484,0.9786949753761292,0.987776517868042,-0.047296613454818726,28.92177254137673
Mets_007,default,0.9805135726928711,0.9854945540428162,0.9822343587875366,-0.020605266094207764,31.000017236844933
Mets_007,no_clip,0.9797025322914124,0.9865280985832214,0.9716147780418396,-0.07446983456611633,25.400560306406355
Mets_007,clip_0.04,0.9794043898582458,0.983699381351471,0.980854868888855,-0.014751225709915161,31.478132261909018
Mets_007,clip_0.15,0.9808768630027771,0.9865484833717346,0.9836457967758179,-0.03086736798286438,29.925228995017253
Mets_007,no_detail,0.9749031662940979,0.9800125360488892,0.9807999730110168,-0.02823406457901001,29.115512986908563
Mets_007,no_expo_reduce,0.9807574152946472,0.9855555891990662,0.9849299788475037,-0.01682230830192566,31.978776515700638
Mets_007,no_contour_lock,0.976063072681427,0.9854945540428162,0.9912528395652771,-0.020597875118255615,31.000017236844933
Mets_007,strength_0.10,0.9787139892578125,0.9826443195343018,0.9800591468811035,-0.012250185012817383,31.633775830933306
Mets_007,strength_1.00,0.9824928045272827,0.989126443862915,0.9869264364242554,-0.04255130887031555,28.665763151278462
Mets_008,default,0.9875050783157349,0.9927654266357422,0.9803575277328491,-0.018460124731063843,31.690583282358837
Mets_008,no_clip,0.9860110282897949,0.9929491281509399,0.9657543897628784,-0.07661831378936768,25.064176764524287
Mets_008,clip_0.04,0.9870493412017822,0.9916054606437683,0.9787482023239136,-0.01231396198272705,32.31306271178048
Mets_008,clip_0.15,0.9872444868087769,0.9929491281509399,0.9820361733436584,-0.029310673475265503,30.352156006248165
Mets_008,no_detail,0.9842563271522522,0.9909844994544983,0.9787535667419434,-0.022995084524154663,29.909192570029507
