case,brain_voxels,core_voxels,support_voxels,seg_voxels_tri,seg_voxels_near,core_brain_frac,seg_brain_frac,dice_tri,recall_tri,precision_tri,dice_near,recall_near,precision_near,dice_support,recall_support,seg_voxels_max,dice_max,recall_max,precision_max,dice_support_max,recall_support_max
Mets_041,48006,11542,71648,71,82,0.24042827979835854,0.0014789817939424238,0.0017222078704899682,0.14084507042253522,0.0008664009703690869,0.0020646937370956643,0.14634146341463414,0.0010396811644429042,0.001979949525230413,1.0,243,0.0064488756894357235,0.15637860082304528,0.00329232368740253,0.006760234243507532,1.0
Mets_042,43511,10743,65854,37,39,0.2469030819792696,0.0008503596791615913,0.0005565862708719852,0.08108108108108109,0.00027925160569673273,0.0005564830272676684,0.07692307692307693,0.00027925160569673273,0.0011230668831858676,1.0,94,0.003137399649349451,0.18085106382978725,0.0015824257656148189,0.0028507308788742647,1.0
Mets_043,39080,9669,60478,14,15,0.24741555783009211,0.00035823950870010233,0.0008261902303005267,0.2857142857142857,0.0004136932464577516,0.0006195786864931846,0.2,0.00031026993484331366,0.00046287112345434105,1.0,109,0.006749846594395582,0.30275229357798167,0.0034129692832764505,0.003598131612392097,1.0
Mets_044,46313,11191,69888,3,5,0.2416384168591972,6.477662859240385e-05,0.0005360014293371449,1.0,0.00026807255830578144,0.0007145409074669524,0.8,0.0003574300777410419,8.584796325707173e-05,1.0,21,0.0028540849090260435,0.7619047619047619,0.0014297203109641676,0.0006007810153199159,1.0
Mets_045,42942,10570,65229,55,53,0.24614596432397187,0.0012807973545712822,0.0016941176470588236,0.16363636363636364,0.0008514664143803217,0.001317895133201544,0.1320754716981132,0.0006622516556291391,0.0016849457753814105,1.0,524,0.024517757346313323,0.2595419847328244,0.012866603595080416,0.01593843626906757,1.0
Mets_046,47491,12648,71289,220,221,0.2663241456275926,0.0046324566760017685,0.014609884986011812,0.42727272727272725,0.0074320050600885515,0.012743802937291165,0.37104072398190047,0.006483238456672992,0.00615307164133186,1.0,1558,0.09756440940447698,0.444801026957638,0.05479127134724858,0.042774582343816495,1.0
Mets_047,42942,10287,65097,17,16,0.2395556797540869,0.000395882818685669,0.00019409937888198756,0.058823529411764705,9.72100709633518e-05,0.00038823643598951763,0.125,0.0001944201419267036,0.0005221611327825045,1.0,133,0.00345489443378119,0.13533834586466165,0.0017497812773403325,0.0040778782768664725,1.0
Mets_048,53449,13037,78913,23,23,0.24391475986454378,0.00043031675054725063,0.001225114854517611,0.34782608695652173,0.0006136381069264402,0.001225114854517611,0.34782608695652173,0.0006136381069264402,0.0005827505827505828,1.0,173,0.008327024981074944,0.3179190751445087,0.004218761985119276,0.004374984194421263,1.0
Mets_049,45000,11539,67656,178,181,0.2564222222222222,0.003955555555555556,0.019117521549884782,0.6292134831460674,0.009706213710026865,0.017064846416382253,0.5524861878453039,0.008666262241095415,0.005248105669723148,1.0,323,0.023604788399932557,0.43343653250773995,0.012132767137533581,0.00950293472984304,1.0
Mets_050,45137,11128,67871,6,4,0.24653831668032877,0.00013292863947537498,0.0,0.0,0.0,0.0,0.0,0.0,0.00017679037081780278,1.0,24,0.0,0.0,0.0,0.0007069740039767287,1.0
Mets_051,45271,10673,68094,1,3,0.235757990766716,2.2089196174151222e-05,0.0,0.0,0.0,0.00018733608092918696,0.3333333333333333,9.3694368968425e-05,2.9370732065496732e-05,1.0,29,0.0016819286114744907,0.3103448275862069,0.000843249320715825,0.0008514011420518768,1.0
