case,brain_voxels,core_voxels,seg_voxels,segmax_voxels,core_brain_frac,seg_brain_frac,segmax_brain_frac,recall_core_vs_seg,precision_core_vs_seg,paper_signed_change_core,paper_ratio_core,paper_abschange_core,texture_corr_core,signed_change_seg,abschange_seg,abschange_outside_seg,ratio_seg,texture_corr_seg,signed_change_segmax,abschange_segmax,abschange_outside_segmax,ratio_segmax,texture_corr_segmax
Mets_027,44804,9715,30,274,0.21683331845370948,0.0006695830729399161,0.0061155253995179,0.06666666666666667,0.0002058672156459084,-0.02312302216887474,0.6964509260518672,0.027963656932115555,0.9898592233657837,-0.04712889716029167,0.04730957746505737,0.021298887208104134,0.4502024399570127,0.996341347694397,-0.024991776794195175,0.0294207613915205,0.02126595750451088,0.7228214532422007,0.9937482476234436
Mets_028,47958,10556,1401,2275,0.22010926227115393,0.029213061428750155,0.047437341006714207,0.44325481798715205,0.058829101932550205,-0.0251698549836874,0.6120233719307487,0.02818203531205654,0.9892787337303162,-0.020334642380475998,0.02649216540157795,0.019450092688202858,0.7341828194627062,0.990944504737854,-0.019952502101659775,0.02513774298131466,0.01937984488904476,0.7709460989974379,0.9898005127906799
Mets_029,48616,12850,264,756,0.26431627447753825,0.005430311008721408,0.015550436070429488,0.23863636363636365,0.00490272373540856,-0.019462736323475838,0.6462763396285286,0.02763996832072735,0.9894764423370361,-0.029448892921209335,0.04166076332330704,0.020331798121333122,0.48803229944561616,0.9959172606468201,-0.019363004714250565,0.02830955944955349,0.020323431119322777,0.7178999431460007,0.9947336912155151
Mets_030,41537,10152,292,595,0.24440859956183644,0.007029876977152899,0.014324578087006766,0.10273972602739725,0.002955082742316785,-0.02285531908273697,0.5659745729069168,0.033313147723674774,0.9918590784072876,-0.0038817168679088354,0.02059614285826683,0.022400924935936928,1.0876271877744186,0.9914790987968445,-0.012702557258307934,0.02204623445868492,0.022393207997083664,1.0157384490784118,0.992648720741272
Mets_031,41786,11455,7,144,0.27413487771023787,0.00016752022208395157,0.0034461302828698607,0.14285714285714285,8.729812309035356e-05,-0.02410067804157734,0.4672918526670396,0.04254366457462311,0.9904064536094666,-0.05451842397451401,0.05974805727601051,0.026087485253810883,0.43662482837388067,0.9979426860809326,-0.028817862272262573,0.033775120973587036,0.02606656216084957,0.7717681361151676,0.9936575293540955
Mets_032,46153,10624,2,39,0.23019088683292527,4.333412779234286e-05,0.0008450154919506858,0.0,0.0,-0.0188398789614439,0.7058175346004337,0.029087988659739494,0.9923664331436157,-0.07083962857723236,0.07083962857723236,0.02249850146472454,0.317597676845464,nan,-0.011577710509300232,0.017523666843771935,0.022504806518554688,1.284252132797942,0.9932194948196411
Mets_033,44811,12469,5,42,0.2782575706857691,0.000111579746044498,0.0009372698667737832,1.0,0.0004009944662763654,-0.022395014762878418,0.5703513361988414,0.028505660593509674,0.9883785247802734,-0.03817176818847656,0.03817176818847656,0.019664112478494644,0.5151480639147055,0.9929900169372559,-0.020394137129187584,0.022779062390327454,0.019663257524371147,0.8632162811372186,0.9740084409713745
Mets_034,43047,11067,1,24,0.2570910864868632,2.323042256138639e-05,0.0005575301414732734,0.0,0.0,-0.020023318007588387,0.6330165776005257,0.03353269025683403,0.9912058711051941,-0.014704763889312744,0.014704763889312744,0.024390721693634987,1.6586952281064429,nan,-0.010907790623605251,0.013725721277296543,0.024396445602178574,1.7774253978573988,0.9983694553375244
Mets_035,41554,9924,18,67,0.2388217740771045,0.0004331712951821726,0.0016123598209558648,0.0,0.0,-0.020821386948227882,0.6476297212435456,0.03113575652241707,0.9930828213691711,-0.026902634650468826,0.026902634650468826,0.022782843559980392,0.8468629134649963,0.9957399368286133,-0.009045933373272419,0.014153708703815937,0.02279856614768505,1.6107839029878015,0.9920146465301514
Mets_036,38149,9519,5,81,0.24952161262418412,0.00013106503447010408,0.002123253558415686,0.0,0.0,-0.021824980154633522,0.5791872455859307,0.02821268141269684,0.9907724261283875,-0.02481905184686184,0.02481905184686184,0.019302085041999817,0.7777124267718714,0.999657154083252,-0.01357802003622055,0.016995297744870186,0.01930771954357624,1.1360624470026734,0.993988037109375
Mets_037,47466,11662,0,11,0.2456916529726541,0.0,0.00023174482787679602,0.0,0.0,-0.020928412675857544,0.6714827098376532,0.03188874572515488,0.9902306199073792,nan,nan,0.023986607789993286,nan,nan,0.002619033446535468,0.020582962781190872,0.02398739568889141,1.1654005278001853,0.9984927773475647
Mets_038,43693,9404,69,162,0.21522898404778798,0.0015792003295722428,0.003707687730300048,0.855072463768116,0.006273925988940876,-0.023646751418709755,0.7211458452983733,0.028167257085442543,0.9890502691268921,-0.05953913927078247,0.06075228750705719,0.021941939368844032,0.36117058746627745,0.9899828433990479,-0.030865680426359177,0.03624236211180687,0.021950239315629005,0.6056514541715855,0.9918051362037659
Mets_039,44990,11214,1,80,0.24925539008668593,2.222716159146477e-05,0.0017781729273171815,0.0,0.0,-0.018907805904746056,0.7090113616600509,0.03024519979953766,0.9898675084114075,-0.1246456503868103,0.1246456503868103,0.02363564446568489,0.18962269756174305,nan,-0.027229690924286842,0.030190492048859596,0.023626215755939484,0.7825714041925306,0.9904345273971558
Mets_040,45702,12257,35,193,0.2681939521246335,0.0007658308170320774,0.004223009933919741,0.7714285714285715,0.002202822876723505,-0.017220444977283478,0.690152610485816,0.028530199080705643,0.9919707179069519,-0.06971731781959534,0.06971731781959534,0.022024502977728844,0.31591150759300224,0.9977828860282898,-0.03445429727435112,0.037459176033735275,0.021995725110173225,0.5871919096769279,0.9960950016975403
Mets_041,48006,11542,71,243,0.24042827979835854,0.0014789817939424238,0.005061867266591676,0.14084507042253522,0.0008664009703690869,-0.02104673720896244,0.6485966900332051,0.025444775819778442,0.9887627363204956,-0.028521014377474785,0.02918621152639389,0.018637556582689285,0.6385740254720909,0.9932537078857422,-0.01970229670405388,0.02288391999900341,0.01863163337111473,0.8141801479784117,0.9934102892875671
Mets_042,43511,10743,37,94,0.2469030819792696,0.0008503596791615913,0.00216037323895107,0.08108108108108109,0.00027925160569673273,-0.019923467189073563,0.7665893890127471,0.03420095145702362,0.9911133646965027,-0.05506974458694458,0.05876849219202995,0.02816305309534073,0.47922027679927676,0.9960408210754395,-0.02987578511238098,0.03854899853467941,0.028166648000478745,0.7306713292471008,0.9959010481834412
