case,variant,soft_iou,hard_iou,tex_corr,lesion_change,resid_mean_abs,psnr_brain_target
Mets_010,noise,0.9830108284950256,0.9823540449142456,0.9561398029327393,-0.011493444442749023,0.4627058506011963,32.10097975005862
Mets_010,mean_latent,0.9867163896560669,0.9882352948188782,0.9801458716392517,-0.023762404918670654,0.0629747286438942,31.68698176982694
Mets_011,dit_seedA,0.9825322031974792,0.9854905009269714,0.9812217354774475,-0.018549442291259766,0.06472707539796829,31.056800822528704
Mets_011,dit_seedB,0.9825322031974792,0.9854905009269714,0.9812217354774475,-0.018549442291259766,0.06471944600343704,31.056800822528704
Mets_011,frozen,0.9825322031974792,0.9854905009269714,0.9812217354774475,-0.018549442291259766,0.06472247838973999,31.056800822528704
Mets_011,shuffled,0.9825322031974792,0.9854905009269714,0.9812217354774475,-0.018549442291259766,0.06472691893577576,31.056800822528704
Mets_011,identity,0.9803593754768372,0.9821383953094482,0.9786394834518433,-0.006731390953063965,0.0,31.805716237504505
Mets_011,noise,0.9783977270126343,0.9799315333366394,0.9645018577575684,-0.00703805685043335,0.46213310956954956,31.21691194511861
Mets_011,mean_latent,0.9825322031974792,0.9854905009269714,0.9812217354774475,-0.018549442291259766,0.06470906734466553,31.056800822528704
Mets_012,dit_seedA,0.9764075875282288,0.9824603199958801,0.9799273610115051,-0.024057745933532715,0.04537453502416611,32.08529733654523
Mets_012,dit_seedB,0.9764075875282288,0.9824603199958801,0.9799273610115051,-0.024057745933532715,0.045367300510406494,32.08529733654523
Mets_012,frozen,0.9764075875282288,0.9824603199958801,0.9799273610115051,-0.024057745933532715,0.04537022486329079,32.08529733654523
Mets_012,shuffled,0.9764075875282288,0.9824603199958801,0.9799273610115051,-0.024057745933532715,0.045374900102615356,32.08529733654523
Mets_012,identity,0.9751189947128296,0.9786466360092163,0.9756943583488464,-0.011482447385787964,0.0,33.34990157019991
Mets_012,noise,0.9721648693084717,0.9746497273445129,0.9538233280181885,-0.009419113397598267,0.4692772328853607,32.714857367421544
Mets_012,mean_latent,0.9764075875282288,0.9824603199958801,0.9799273610115051,-0.024057745933532715,0.04535689204931259,32.08529733654523
Mets_013,dit_seedA,0.9814684987068176,0.9827783703804016,0.9836108684539795,-0.02173370122909546,0.06937085092067719,29.490892108232302
Mets_013,dit_seedB,0.9814684987068176,0.9827783703804016,0.9836108684539795,-0.02173370122909546,0.06936332583427429,29.490892108232302
Mets_013,frozen,0.9814684987068176,0.9827783703804016,0.9836108684539795,-0.02173370122909546,0.06936635076999664,29.490892108232302
Mets_013,shuffled,0.9814684987068176,0.9827783703804016,0.9836108684539795,-0.02173370122909546,0.06937068700790405,29.490892108232302
Mets_013,identity,0.9793776869773865,0.9797748923301697,0.9813809394836426,-0.008979380130767822,0.0,30.085510544989926
Mets_013,noise,0.9774928689002991,0.9773113131523132,0.9696608781814575,-0.010331511497497559,0.46148544549942017,29.489032265634087
Mets_013,mean_latent,0.9814684987068176,0.9827783703804016,0.9836108684539795,-0.02173370122909546,0.06935305148363113,29.490892108232302
Mets_014,dit_seedA,0.9799172282218933,0.983441948890686,0.9823876619338989,-0.02228391170501709,0.046910323202610016,30.36576474586498
Mets_014,dit_seedB,0.9799172282218933,0.983441948890686,0.9823876619338989,-0.02228391170501709,0.046903081238269806,30.36576474586498
Mets_014,frozen,0.9799172282218933,0.983441948890686,0.9823876619338989,-0.02228391170501709,0.0469060018658638,30.36576474586498
Mets_014,shuffled,0.9799172282218933,0.983441948890686,0.9823876619338989,-0.02228391170501709,0.04691052809357643,30.36576474586498
Mets_014,identity,0.9776830077171326,0.9799144864082336,0.979674756526947,-0.010003924369812012,0.0,31.133402082190244
Mets_014,noise,0.9754467606544495,0.9769506454467773,0.9657052755355835,-0.009799182415008545,0.47147148847579956,30.567761297866948
Mets_014,mean_latent,0.9799172282218933,0.983441948890686,0.9823876619338989,-0.02228391170501709,0.04689273238182068,30.36576474586498
Mets_015,dit_seedA,0.9864999651908875,0.9910238981246948,0.9801385402679443,-0.021438956260681152,0.056592050939798355,30.978212857314155
Mets_015,dit_seedB,0.9864999651908875,0.9910238981246948,0.9801385402679443,-0.021438956260681152,0.05658461153507233,30.978212857314155
Mets_015,frozen,0.9864999651908875,0.9910238981246948,0.9801385402679443,-0.021438956260681152,0.05658755078911781,30.978212857314155
Mets_015,shuffled,0.9864999651908875,0.9910238981246948,0.9801385402679443,-0.021438956260681152,0.05659191682934761,30.978212857314155
Mets_015,identity,0.9852515459060669,0.9890080690383911,0.9776182770729065,-0.009343147277832031,0.0,31.84598254462314
Mets_015,noise,0.9839001297950745,0.9873969554901123,0.9619884490966797,-0.009915471076965332,0.4673520028591156,31.219774258843913
Mets_015,mean_latent,0.9864999651908875,0.9910238981246948,0.9801385402679443,-0.021438956260681152,0.056574322283267975,30.978212857314155
Mets_016,dit_seedA,0.9879400134086609,0.9892333149909973,0.9771470427513123,-0.025703072547912598,0.06403674185276031,29.813080108465265
Mets_016,dit_seedB,0.9879400134086609,0.9892333149909973,0.9771470427513123,-0.025703072547912598,0.064029261469841,29.813080108465265
